orf::batch:tagtype	Gene	T0	30C_T1	30C_T2	30C_T3	30C_T4	30C_T5	37C_T1	37C_T2	37C_T3	37C_T4	37C_T5	30C_RAPA_T1	30C_RAPA_T2	30C_RAPA_T3	Description	feature_qualifier	GO_process	GO_function	GO_component	essential_gene	zygosity
YAL001C::chr1_1:uptag	TFC3	1192.6	1539.8	1190.4	1085.8	937.8	822	1214.4	1229.2	947.8	658	228.6	1284	1589.8	770.6	Largest of six subunits of the RNA polymerase III transcription initiation factor complex (TFIIIC); part of the TauB domain of TFIIIC that binds DNA at the BoxB promoter sites of tRNA and similar genes; cooperates with Tfc6p in DNA binding	Verified	transcription initiation from RNA polymerase III promoter	RNA polymerase III transcription factor activity	mitochondrion*	yes	het
YAL002W::chr1_1:uptag	VPS8	1791	2296.4	1861.4	1181.6	1616.2	908.4	1305.2	1121.6	415.4	731.6	128.4	1228.2	1436.4	45.4	Membrane-associated hydrophilic protein that interacts with the small GTPase, Vps21p, to facilitate soluble vacuolar protein localization; required for localization and trafficking of the CPY sorting receptor; contains a RING finger motif	Verified	late endosome to vacuole transport	molecular function unknown	membrane fraction	no	hom
YAL003W::chr1_1:uptag	EFB1	1521.4	2024	1517.4	1541.2	1606	1387.6	1469.6	1626.2	1388.4	1276	896.8	1473	1495.8	920.8	Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site	Verified	translational elongation	translation elongation factor activity	ribosome*	yes	het
YAL004W::chr1_1:uptag	YAL004W	1467.2	2204.6	1925	1705	2196.6	1450.4	1635.8	1936.6	1452.2	1585.6	932.8	2182.4	2748	662.4		Dubious				no	hom
YAL005C::chr1_1:uptag	SSA1	2280.2	3030.6	2477.4	2351.2	2602	2255.4	2484	2270	2274.4	2232	1643.4	2334	3145.2	1515.4	ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall	Verified	translation*	ATPase activity*	cytoplasm*	no	hom
YAL007C::chr1_1:uptag	ERP2	1135.2	1501.6	1482.6	1654.6	1692.2	1367.8	1483	1431.8	1153.8	1301.4	1009.4	1441.8	2385.4	686.6	Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles	Verified	ER to Golgi vesicle-mediated transport	molecular function unknown	ER to Golgi transport vesicle	no	hom
YAL008W::chr1_1:uptag	FUN14	634.8	1005	870.2	842.2	1037.4	789	960.8	988.6	741.4	911.4	638.4	998.8	1438.8	178	Mitochondrial protein of unknown function	Verified	biological process unknown	molecular function unknown	mitochondrion*	no	hom
YAL009W::chr1_1:uptag	SPO7	1782	1996.4	1177.8	423.6	888	325	1049.6	686	161.8	37.6	64.6	1326.8	355	35.6	Integral nuclear/ER membrane protein of unknown function, required for normal nuclear envelope morphology and sporulation	Verified	sporulation (sensu Fungi)*	molecular function unknown	integral to membrane*	no	hom
YAL010C::chr1_1:uptag	MDM10	119	49	51.6	38.5	35.4	50	38.8	36.6	40.6	36.4	48.2	74	276.25	34.6	Subunit of the mitochondrial sorting and assembly machinery (SAM complex); has a role in assembly of the TOM complex, which mediates protein import through the outer membrane; required for normal mitochondrial morphology and inheritance	Verified	telomere maintenance*	molecular function unknown	mitochondrial outer membrane*	no	hom
YAL011W::chr1_1:uptag	SWC3	1390	1618	1054.6	1168.4	1138.6	435.4	1229.2	1069.8	750.6	856	452.8	1554.2	2230.4	540.2	Protein of unknown function, component of the SWR1 complex, which exchanges histone variant H2AZ (Htz1p) for chromatin-bound histone H2A; required for formation of nuclear-associated array of smooth endoplasmic reticulum known as karmellae	Verified	response to drug*	molecular function unknown	nucleus*	no	hom
YAL012W::chr00_12:downtag	CYS3	1023	1323.6	942.4	516.2	324.8	111.2	278.2	116	50.4	48.2	51.2	979.6	992	255.2	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	Verified	response to drug*	cystathionine gamma-lyase activity	cytoplasm	no	hom
YAL012W::chr00_12:uptag	CYS3	407.8	320.6	221.2	141.2	250.4	80.4	103.8	70.75	227	50.6	54.4	230.6	342.6	36.8	Cystathionine gamma-lyase, catalyzes one of the two reactions involved in the transsulfuration pathway that yields cysteine from homocysteine with the intermediary formation of cystathionine	Verified	response to drug*	cystathionine gamma-lyase activity	cytoplasm	no	hom
YAL013W::chr1_1:uptag	DEP1	102.2	65	61	35.6	36.6	59.8	124.2	56	48.2	55.5	47.6	92.6	229.2	128	Transcriptional modulator involved in regulation of structural phospholipid biosynthesis genes and metabolically unrelated genes, as well as maintenance of telomeres, mating efficiency, and sporulation	Verified	telomere maintenance*	histone deacetylase activity*	nucleus*	no	hom
YAL014C::chr1_1:uptag	SYN8	1576.2	2292.6	2001.2	2214.2	2423.2	1932.6	1914.2	2140	1774	1992.2	1393.6	2301.6	3558	1517.6	Endosomal SNARE related to mammalian syntaxin 8	Verified	transport	SNAP receptor activity	endosome	no	hom
YAL015C::chr1_1:uptag	NTG1	2245.6	2870.6	2491.6	2089.8	2636.8	1714.8	2441.6	2435.4	1651.8	1650.4	1027.4	2534.6	3502.2	1214.6	DNA N-glycosylase and apurinic/apyrimidinic (AP) lyase involved in base excision repair, localizes to the nucleus and mitochondrion	Verified	DNA repair*	DNA-(apurinic or apyrimidinic site) lyase activity*	nucleus*	no	hom
YAL016C-B::chr00_20:downtag	YAL016C-B	2186.4	3263.4	2858	2843.8	2042.75	2645	2996.6	3667.4	3124.6	2417.8	1911.8	2910.8	2805.6	174.4		Dubious				no	hom
YAL016C-B::chr00_20:uptag	YAL016C-B	47.8	44.2	65.6	70.6	66.4	68.6	51.4	82.6	46.8	99.2	53.4	61.4	54.6	33.2		Dubious				no	hom
YAL016W::chr00_12:downtag	TPD3	35	40	48	37.4	41	51.6	37.8	36.4	42.6	37.8	44	53	39	33.8	Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and for transcription by RNA polymerase III	Verified	translation*	protein phosphatase type 2A activity	cytoplasm*	no	hom
YAL016W::chr00_12:uptag	TPD3	50.8	43.8	58.8	40.8	35.8	52.2	45.2	43	43.4	40	45.8	37.6	38.4	34.2	Regulatory subunit A of the heterotrimeric protein phosphatase 2A, which also contains regulatory subunit Cdc55p and either catalytic subunit Pph21p or Pph22p; required for cell morphogenesis and for transcription by RNA polymerase III	Verified	translation*	protein phosphatase type 2A activity	cytoplasm*	no	hom
YAL017W::chr1_1:uptag	PSK1	2622.5	3526.4	3115.75	2951	3293.5	2531.6	2688.8	3044.2	2527	3300.4	2438.6	2901.8	4343	2132.2	One of two (see also PSK2) PAS domain containing S/T protein kinases; coordinately regulates protein synthesis and carbohydrate metabolism and storage in response to a unknown metabolite that reflects nutritional status	Verified	protein amino acid phosphorylation*	protein serine/threonine kinase activity	cytoplasm	no	hom
YAL018C::chr1_1:uptag	YAL018C	332	476.2	395.6	354.4	597.8	342.6	515.6	441.6	424.8	379	292.8	502	882	165.8		Uncharacterized	biological process unknown	molecular function unknown	cellular component unknown	no	hom
YAL019W::chr1_1:uptag	FUN30	213.6	256.4	208.5	216	206.8	142.8	217.4	175.2	162.8	160	190	263.2	311.4	133.2	Protein whose overexpression affects chromosome stability, potential Cdc28p substrate; homolog of Snf2p; the authentic, non-tagged protein is detected in highly purified mitochondria in high-throughput studies	Verified	chromosome organization and biogenesis (sensu Eukaryota)	molecular function unknown	nucleus*	no	hom
YAL020C::chr1_1:uptag	ATS1	518.4	421	266	164.8	78	90.6	491	304	110.8	105.2	65	317	398.2	33.8	Protein required, with Elongator complex, Kti11p, and Kti12p, for modification of wobble nucleosides in tRNA; has a potential role in regulatory interactions between microtubules and the cell cycle	Verified	tRNA modification*	molecular function unknown	cytoplasm	no	hom
YAL021C::chr00_21:downtag	CCR4	961.6	1405.6	807.4	120	124	280	875.4	615.2	406.8	197.8	44.8	446.2	40.8	35.8	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	Verified	response to drug*	3'-5'-exoribonuclease activity	cytoplasm*	no	hom
YAL021C::chr00_21:uptag	CCR4	808	932	571.6	156.2	257.6	113.2	403.2	377.8	221.6	185.8	89.6	250	81.2	41.4	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	Verified	response to drug*	3'-5'-exoribonuclease activity	cytoplasm*	no	hom
YAL021C::chr1_1:uptag	CCR4	492.2	297.2	156	123.6	224	70	262.8	144.6	115.6	39	53	218.6	36.2	35.2	Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening	Verified	response to drug*	3'-5'-exoribonuclease activity	cytoplasm*	no	hom
YAL022C::chr1_1:uptag	FUN26	1318.6	1737.6	1497.4	1598.2	2118.8	1529.2	1593.2	1725.6	1401.8	1762.4	1110	1563.2	2872.6	910.4	Nucleoside transporter with broad nucleoside selectivity; localized to intracellular membranes	Verified	nucleoside transport	nucleoside transporter activity	membrane*	no	hom
YAL023C::chr1_1:uptag	PMT2	86.4	60.8	71.6	38.4	40.2	60	44	66.2	41.2	37.8	48	84.6	69.8	34	Protein O-mannosyltransferase, transfers mannose residues from dolichyl phosphate-D-mannose to protein serine/threonine residues; acts in a complex with Pmt1p, can instead interact with Pmt5p in some conditions; target for new antifungals	Verified	protein amino acid O-linked glycosylation	dolichyl-phosphate-mannose-protein mannosyltransferase activity	endoplasmic reticulum	no	hom
YAL024C::chr00_17a:downtag	LTE1	2072.6	3210.4	2933.4	2620.4	1572	1570.6	2433.8	1680.8	1468	1200.8	799.6	2807.4	1471.8	36.4	Putative GDP/GTP exchange factor required for mitotic exit at low temperatures; acts as a guanine nucleotide exchange factor (GEF) for Tem1p, which is a key regulator of mitotic exit; physically associates with Ras2p-GTP	Verified	response to drug*	guanyl-nucleotide exchange factor activity	bud	no	hom
