ORF	Gene	Average Ratio	Gene Description
YNL138W	SRV2	30.6	70-kDa adenylyl cyclase-associated protein, cytoskeleton organization and biogenesis*, cytoskeletal protein binding protein*, actin cortical patch (sensu Saccharomyces)
YER070W	RNR1	22.3	ribonucleotide reductase, DNA replication, ribonucleoside-diphosphate reductase, cytosol
YNL054W	VAC7	21.0	Integral vacuolar membrane protein,molecular_function unknown,
YFL023W	FYV11	20.9	biological_process unknown, molecular_function unknown, cellular_component unknown
YBR200W	BEM1	20.3	contains two SH3 domains
YLR242C	ARV1	20.1	similar to Nup120p and C.elegans R05H5.5 protein and Nup120p, biological_process unknown, molecular_function unknown,
YNL064C	YDJ1	19.6	yeast dnaJ homolog (nuclear envelope protein); heat shock protein
YER014C-A	BUD25	19.0	bud site selection, biological_process unknown, molecular_function unknown, cellular_component unknown
YLR240W	VPS34	18.9	phosphatidylinositol 3-kinase, protein phosphorylation*, protein kinase*, membrane fraction
YJL176C	SWI3	18.8	transcription factor, chromatin modeling, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex
YDR074W	TPS2	18.0	Trehalose-6-phosphate phosphatase, stress response*, trehalose phosphatase, alpha,alpha-trehalose-phosphate synthase (UDP-forming)
YEL027W	CUP5	17.9	vacuolar ATPase V0 domain subunit c (17 kDa), endocytosis*, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V0 domain
YGR262C	BUD32	17.6	biological_process unknown, molecular_function unknown, cellular_component unknown
YHR010W	RPL27A	17.1	Ribosomal protein L27A, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YBL093C	ROX3	17.0	RNA polymerase II holoenzyme mediator subunit, transcription from Pol II promoter, RNA polymerase II transcription mediator, mediator complex
YNL139C	RLR1	16.8	Involved in transcription, transcription,nucleus
YMR205C	PFK2	16.7	phosphofructokinase beta subunit, glycolysis, 6-phosphofructokinase, 6-phosphofructokinase
YER068W	MOT2	16.6	putative zinc finger protein, mating (sensu Saccharomyces),
YLR235C		16.4	biological_process unknown, molecular_function unknown,
YGR272C		16.4	biological_process unknown, molecular_function unknown,
YKL057C	NUP120	16.2	100-kDa protein (predicted molecular weight is 120 kDa) with two leucine zipper motifs, coiled-coil region, and some homology to Nup133p, mRNA-nucleus export*, structural protein, nuclear pore
YPR101W	SNT309	16.2	Component of a protein complex associated with the splicing factor Prp19p., mRNA splicing,
YBR289W	SNF5	16.1	subunit of the chromatin remodeling Snf Swi complex, chromatin modeling, non-specific RNA polymerase II transcription factor, nucleosome remodeling complex
YJL188C	BUD19	15.9	biological_process unknown, molecular_function unknown,
YLR244C	MAP1	15.5	methionine aminopeptidase,methionyl aminopeptidase,
YPL268W	PLC1	14.8	phosphoinositide-specific phospholipase C, pseudohyphal growth*, 1-phosphatidylinositol-4,5-biphosphate phosphodiesterase, cellular_component unknown
YMR142C	RPL13B	14.8	Ribosomal protein L13B, protein biosynthesis, structural protein of ribosome, cytosolic large ribosomal (60S)-subunit
YGL038C	OCH1	14.7	membrane-bound alpha-1,6-mannosyltransferase, N-linked glycoprotein maturation, alpha-1,6-mannosyltransferase,
YDR245W	MNN10	14.7	galactosyltransferase, actin filament organization*, alpha-1,6-mannosyltransferase, mannosyltransferase complex
YLR435W		14.6	biological_process unknown, molecular_function unknown,
YFR001W	LOC1	14.5	Double-stranded RNA-binding protein
YEL051W	VMA8	14.4	vacuolar ATPase V1 domain subunit D, vacuolar acidification, hydrogen-transporting two-sector ATPase, hydrogen-transporting ATPase V1 domain
YML010C-B		14.1	biological_process unknown, molecular_function unknown,
YJL183W	MNN11	13.9	mannosyltransferase complex component, biological_process unknown,
YGR167W	CLC1	13.7	Clathrin light chain
YDL115C		13.6	biological_process unknown, molecular_function unknown,
YEL044W		13.4	biological_process unknown, molecular_function unknown,
YJL075C		13.4	biological_process unknown, molecular_function unknown,
YLR320W		13.3	biological_process unknown, molecular_function unknown,
YDR359C	VID21	13.3	vacuolar import degradation,molecular_function unknown,
YDR017C	KCS1	13.1	Shows homology to basic leucine zipper family of transcription factors
YPR067W	ISA2	13.0	Iron Sulfur Assembly -- IscA NifA homolog, iron transport, molecular_function unknown, mitochondrial intermembrane space
YDR378C	LSM6	12.8	Sm-like protein,molecular_function unknown,
YLR439W	MRPL4	12.7	Mitochondrial 60S ribosomal protein L4, protein biosynthesis, structural protein of ribosome, mitochondrial large ribosomal-subunit
YMR089C	YTA12	12.6	mitochondrial membrane ATPase of the CDC48 PAS1 SEC18 (AAA) family, protein complex assembly*, adenosinetriphosphatase*, mitochondrial inner membrane
YJL140W	RPB4	12.6	fourth-largest subunit of RNA polymerase II, transcription from Pol II promoter, DNA-directed RNA polymerase II, DNA-directed RNA polymerase II, core
YDR300C	PRO1	12.6	gamma-glutamyl kinase,glutamate 5-kinase,
YNL297C	MON2	12.5	molecular_function unknown
YLR403W	SFP1	12.4	split zinc finger protein, biological_process unknown,
YLR233C	EST1	12.4	involved in telomere length regulation
YDL185W	TFP1	12.2	vacuolar ATPase V1 domain subunit A (69 kDa), vacuolar acidification*, hydrogen-transporting two-sector ATPase*, hydrogen-transporting ATPase V1 domain
