Gene	Orf	Spo1	Spo2	oligo	microarray	Biological Process	Molecular Function	Cellular Component
YER139C	YER139C	0.738531	0.745296	 	 	biological_process unknown	molecular_function unknown	not yet annotated
bem2	YER155C	0.494159	0.691747	Both	 	establishment of cell polarity (sensu Saccharomyces)*	signal transducer*	intracellular
BCK2	YER167W	0.631887	0.681181	 	 	cell cycle control	molecular_function unknown	cellular_component unknown
van1	YML115C	0.493218	0.693087	SK1	repressed	not yet annotated	mannosyltransferase	not yet annotated
gal80	YML051W	0.752027	0.796879	 	 	transcription regulation*	transcription co-repressor	nucleus
YML013C-A	YML013C-A	0.775666	0.693671	 	 	biological_process unknown	molecular_function unknown	not yet annotated
SOK2	YMR016C	0.654882	0.675665	 	 	pseudohyphal growth	transcription factor	cellular_component unknown
SUB1	YMR039C	0.782649	0.726758	 	repressed	transcription	not yet annotated	not yet annotated
YMR111C	YMR111C	0.630073	0.753034	 	 	biological_process unknown	molecular_function unknown	not yet annotated
cln3	YAL040C	0.298405	0.252811	W303	repressed	G1/S transition of mitotic cell cycle*	G1/S-specific cyclin	nucleus
PMT2	YAL023C	0.728066	0.572904	 	 	O-linked glycosylation	dolichyl-phosphate-mannose--protein mannosyltransferase	endoplasmic reticulum
YAL011W	YAL011W	0.613616	0.500538	W303	 	biological_process unknown	molecular_function unknown	not yet annotated
ade1	YAR015W	0.611728	0.395303	both	repressed	not yet annotated	phosphoribosylaminoimidazole-succinocarboxamide synthase	not yet annotated
SWH1	YAR042W	0.764887	0.697689	 	 	biological_process unknown	molecular_function unknown	not yet annotated
spt21	YMR179W	0.49865	0.638516	SK1	 	transcription	not yet annotated	not yet annotated
CLN1	YMR199W	0.704637	0.658542	 	repressed	G1/S transition of mitotic cell cycle*	G1/S-specific cyclin	cellular_component unknown
OPI1	YHL020C	0.607273	0.481801	Both	 	phospholipid metabolism	not yet annotated	not yet annotated
YLF2	YHL014C	0.789219	0.686264	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YPL247C	YPL247C	0.660493	0.659005	W303	repressed	biological_process unknown	molecular_function unknown	not yet annotated
MID1	YNL291C	0.644314	0.733499	 	 	transport	not yet annotated	not yet annotated
YMR233W	YMR233W	0.78718	0.734129	 	 	biological_process unknown	molecular_function unknown	not yet annotated
RPL20A	YMR242C	0.679034	0.689294	SK1	repressed	protein biosynthesis	structural protein of ribosome	cytosolic large ribosomal (60S) subunit
GFD1	YMR255W	0.791103	0.762931	 	 	mRNA-nucleus export	molecular_function unknown	cytoplasm*
CUE1	YMR264W	0.75773	0.632348	SK1	 	not yet annotated	not yet annotated	not yet annotated
GAS1	YMR307W	0.381695	0.529075	 	 	biological_process unknown	not yet annotated	not yet annotated
YMR312W	YMR312W	0.676209	0.669997	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YJL169W	YJL169W	0.651761	0.751133	 	 	biological_process unknown	molecular_function unknown	not yet annotated
SET2	YJL168C	0.675377	0.799072	 	 	not yet annotated	not yet annotated	not yet annotated
YJL142C	YJL142C	0.749035	0.764761	 	repressed	biological_process unknown	molecular_function unknown	not yet annotated
YJL103C	YJL103C	0.723498	0.674724	W303	 	biological_process unknown	molecular_function unknown	not yet annotated
SAP185	YJL098W	0.716652	0.745913	 	 	G1/S transition of mitotic cell cycle	protein serine/threonine phosphatase	cytoplasm
arg3	YJL088W	0.774877	0.605778	both	induced	arginine biosynthesis*	ornithine carbamoyltransferase	cytosol
PRM2	YIL037C	0.673099	0.785184	 	induced	mating (sensu Saccharomyces)	molecular_function unknown	integral membrane protein
NOT3	YIL038C	0.616084	0.697018	SK1	 	transcription	not yet annotated	not yet annotated
YIL060W	YIL060W	0.790379	0.726568	 	 	biological_process unknown	molecular_function unknown	not yet annotated
GDA1	YEL042W	0.655944	0.673598	 	 	not yet annotated	guanosine-diphosphatase	not yet annotated
REM50	YLL002W	0.682628	0.743566	SK1	 	not yet annotated	molecular_function unknown	not yet annotated
YLL053C	YLL053C	0.607862	0.766585	 	repressed	biological_process unknown	molecular_function unknown	not yet annotated
SSK1	YLR006C	0.791349	0.742394	 	 	osmosensory signaling pathway via two-component system	enzyme activator*	cellular_component unknown
UBR2	YLR024C	0.694474	0.796411	 	 	polyubiquitylation*	ubiquitin--protein ligase	cellular_component unknown
RPS10A	YOR293W	0.766264	0.540882	both	repressed	protein biosynthesis	structural protein of ribosome	cytosolic small ribosomal (40S) subunit
YOR322C	YOR322C	0.674498	0.661786	 	 	biological_process unknown	molecular_function unknown	not yet annotated
GDS1	YOR355W	0.689934	0.672589	both	both	not yet annotated	molecular_function unknown	not yet annotated
YOR359W	YOR359W	0.7194	0.757199	 	 	biological_process unknown	molecular_function unknown	not yet annotated
HTZ1	YOL012C	0.557845	0.59635	both	 	transcription regulation from Pol II promoter*	chromatin binding	chromatin*
SHE4	YOR035C	0.684137	0.742361	 	 	not yet annotated	molecular_function unknown	not yet annotated
TOM6	YOR045W	0.770189	0.741023	both	 	mitochondrial translocation	protein transporter	mitochondrial outer membrane translocase complex
YOR051C	YOR051C	0.565124	0.616739	 	repressed	biological_process unknown	molecular_function unknown	nucleus
YOR091W	YOR091W	0.603771	0.676242	 	repressed	biological_process unknown	molecular_function unknown	cytoplasm
KSP1	YHR082C	0.749353	0.707815	 	 	biological_process unknown	protein kinase	not yet annotated
FIG2	YCR089W	0.71873	0.757704	 	repressed	mating (sensu Saccharomyces)	not yet annotated	not yet annotated
YPL180W	YPL180W	0.529423	0.38211	 	 	biological_process unknown	molecular_function unknown	not yet annotated
YPL101W	YPL101W	0.754857	0.71693	 	 	biological_process unknown	molecular_function unknown	not yet annotated
ALF1	YNL148C	0.423739	0.471536	 	 	post-chaperonine tubulin folding pathway*	cochaperone	microtubule
CPR7	YJR032W	0.743348	0.582237	 	 	biological_process unknown	peptidylprolyl isomerase	cytoplasm
APS2	YJR058C	0.762393	0.770119	 	 	not yet annotated	not yet annotated	not yet annotated
UBP2	YOR124C	0.790675	0.795573	 	 	deubiquitylation	ubiquitin-specific protease	cytoplasm
YOR138C	YOR138C	0.765417	0.786521	 	 	biological_process unknown	molecular_function unknown	not yet annotated
RUD3	YOR216C	0.619624	0.758924	 	 	not yet annotated	molecular_function unknown	not yet annotated
YOR238W	YOR238W	0.714874	0.680558	SK1	 	biological_process unknown	molecular_function unknown	not yet annotated
